,Model,Extra,Mode,Extra ratio
136,GPR,9.451168784630412e-06,sin2,0.1
137,DNN,0.315867497732106,sin2,0.1
138,QCL,4.969204503661592,sin2,0.3
139,GPR,0.172600761296608,sin2,0.3
140,DNN,0.56484809196557,sin2,0.3
141,QCL,1.4162334542366901,sin2,0.5
142,GPR,0.6050463261863122,sin2,0.5
143,DNN,4.066300381404178,sin2,0.5
144,QCL,2.4779320500228406,sin2,0.7
145,GPR,0.5396682666819934,sin2,0.7
146,DNN,1.2469998778697338,sin2,0.7
147,QCL,1.792276492709858,sin2,0.9
148,GPR,0.4231483472026877,sin2,0.9
149,DNN,19.632264609775522,sin2,0.9
150,QCL,1.339411944885384e-07,linear,0.1
151,GPR,1.4721918082319586e-05,linear,0.1
152,DNN,0.0009142952760177889,linear,0.1
153,QCL,7.095446873957643e-08,linear,0.3
154,GPR,9.867357342577812e-05,linear,0.3
155,DNN,0.001518478131063196,linear,0.3
156,QCL,2.2917845693055113e-08,linear,0.5
157,GPR,0.006635910510254041,linear,0.5
158,DNN,0.00033534091180316715,linear,0.5
159,QCL,1.7868214930932253e-08,linear,0.7
160,GPR,0.013205167144744406,linear,0.7
161,DNN,0.0014614743207830422,linear,0.7
162,QCL,2.3401694367713945e-07,linear,0.9
163,GPR,0.06861461249192151,linear,0.9
164,DNN,0.006625856615876624,linear,0.9
165,QCL,0.00031411351607081497,exp,0.1
166,GPR,6.220621642857234e-05,exp,0.1
167,DNN,0.0005357499914333305,exp,0.1
168,QCL,8.403399182905507e-05,exp,0.3
169,GPR,0.0009517090515769116,exp,0.3
170,DNN,0.005485655493871987,exp,0.3
171,QCL,0.0003589986091728516,exp,0.5
172,GPR,0.005339880523275301,exp,0.5
173,DNN,0.054250958861316693,exp,0.5
174,QCL,0.009361516163422864,exp,0.7
175,GPR,0.016904897830170407,exp,0.7
176,DNN,0.053125301257384204,exp,0.7
177,QCL,0.007247789949577418,exp,0.9
178,GPR,0.06329136758450792,exp,0.9
179,DNN,0.06544620411429848,exp,0.9
180,QCL,3.986230995870344e-05,sin1/2,0.1
181,GPR,3.536962497022371e-06,sin1/2,0.1
182,DNN,0.00046730747160357957,sin1/2,0.1
183,QCL,1.282829427801813e-05,sin1/2,0.3
184,GPR,0.0008479678078527391,sin1/2,0.3
185,DNN,0.002189207485328531,sin1/2,0.3
186,QCL,9.515884848479621e-06,sin1/2,0.5
187,GPR,0.0017396169911985137,sin1/2,0.5
188,DNN,0.025239919883086312,sin1/2,0.5
189,QCL,6.258032077540993e-06,sin1/2,0.7
190,GPR,0.010339922960743318,sin1/2,0.7
191,DNN,0.1200180139269896,sin1/2,0.7
192,QCL,3.0316926531211674e-05,sin1/2,0.9
193,GPR,0.18106671634526542,sin1/2,0.9
194,DNN,0.14975386357477927,sin1/2,0.9
195,QCL,0.20736815269102146,sin,0.1
196,GPR,3.8295858529001714e-05,sin,0.1
197,DNN,0.0589623953965023,sin,0.1
198,QCL,0.7282290101990765,sin,0.3
199,GPR,0.011799763428337945,sin,0.3
200,DNN,0.2589116792514852,sin,0.3
201,QCL,0.6410100605123297,sin,0.5
202,GPR,0.09860260458951058,sin,0.5
203,DNN,2.1715299068488245,sin,0.5
204,QCL,0.4425169973537194,sin,0.7
205,GPR,0.07242091355656959,sin,0.7
206,DNN,5.933527177042432,sin,0.7
207,QCL,0.5942346609458182,sin,0.9
208,GPR,0.41797199226379517,sin,0.9
209,DNN,6.362829577410868,sin,0.9
210,QCL,0.42864971583065703,sin2,0.1
211,GPR,2.9602080244862173e-05,sin2,0.1
212,DNN,0.6706134634776879,sin2,0.1
213,QCL,3.496363958694467,sin2,0.3
214,GPR,0.1284656165967933,sin2,0.3
215,DNN,0.4390911179091435,sin2,0.3
216,QCL,3.437711229041306,sin2,0.5
217,GPR,0.15208000970216756,sin2,0.5
218,DNN,4.170631689059607,sin2,0.5
219,QCL,2.482082369780325,sin2,0.7
220,GPR,0.3931260291954761,sin2,0.7
221,DNN,1.6481939193636232,sin2,0.7
222,QCL,1.5259993206861988,sin2,0.9
223,GPR,0.3783194599308117,sin2,0.9
224,DNN,3.531316839452348,sin2,0.9
225,QCL,7.149392288707194e-05,linear,0.1
226,GPR,2.8241958736738187e-06,linear,0.1
227,DNN,1.5421529005307485e-05,linear,0.1
228,QCL,3.0380270180523415e-05,linear,0.3
229,GPR,6.83334717379252e-05,linear,0.3
230,DNN,0.0012480144551785626,linear,0.3
231,QCL,0.0007058300276790118,linear,0.5
232,GPR,0.004502515559736342,linear,0.5
233,DNN,0.00010853930888903959,linear,0.5
234,QCL,0.00025164460177195614,linear,0.7
235,GPR,0.07218950320062988,linear,0.7
236,DNN,0.019336818671315124,linear,0.7
237,QCL,0.00017766173469804222,linear,0.9
238,GPR,0.1312051230245137,linear,0.9
239,DNN,0.008253204447117628,linear,0.9
240,QCL,3.511302904943532e-06,exp,0.1
241,GPR,7.280371693437352e-05,exp,0.1
242,DNN,0.0010193947409794769,exp,0.1
243,QCL,2.2106904299013538e-06,exp,0.3
244,GPR,0.0002722338056477587,exp,0.3
245,DNN,0.002061061902021506,exp,0.3
246,QCL,7.0049783288282195e-06,exp,0.5
247,GPR,0.008222207901016396,exp,0.5
248,DNN,0.0676207564021754,exp,0.5
249,QCL,0.0015905070904483664,exp,0.7
250,GPR,0.015066214922430248,exp,0.7
251,DNN,0.0730172237877255,exp,0.7
252,QCL,0.0014390119704380203,exp,0.9
253,GPR,0.06797739471216502,exp,0.9
254,DNN,0.19052432029961994,exp,0.9
255,QCL,0.001195452502160279,sin1/2,0.1
256,GPR,8.692003462435593e-06,sin1/2,0.1
257,DNN,0.0015360848717064185,sin1/2,0.1
258,QCL,0.0007931187983458938,sin1/2,0.3
259,GPR,0.0006713814905876281,sin1/2,0.3
260,DNN,0.0034982807057919265,sin1/2,0.3
261,QCL,0.0009141650500285778,sin1/2,0.5
262,GPR,0.00030313272254855415,sin1/2,0.5
263,DNN,0.020143970806144777,sin1/2,0.5
264,QCL,0.000579626793013388,sin1/2,0.7
265,GPR,0.006936236308954341,sin1/2,0.7
266,DNN,0.13864807178215033,sin1/2,0.7
267,QCL,0.0005592283812822945,sin1/2,0.9
268,GPR,0.1766947196177099,sin1/2,0.9
269,DNN,1.0576249461964518,sin1/2,0.9
270,QCL,0.1823487511014807,sin,0.1
271,GPR,7.877420198043598e-07,sin,0.1
272,DNN,0.03240754119064672,sin,0.1
273,QCL,0.2609614478996937,sin,0.3
274,GPR,0.0022220088707142747,sin,0.3
275,DNN,0.11587326283083849,sin,0.3
276,QCL,0.7826294599245736,sin,0.5
277,GPR,0.1076685617869558,sin,0.5
278,DNN,0.07708930222010721,sin,0.5
279,QCL,0.5051265798436848,sin,0.7
280,GPR,0.10059545970777392,sin,0.7
281,DNN,4.0114742900964595,sin,0.7
282,QCL,0.6025791779083927,sin,0.9
283,GPR,0.4222074991834649,sin,0.9
284,DNN,11.330890133917777,sin,0.9
285,QCL,0.24399407974849638,sin2,0.1
286,GPR,0.0001962310065936553,sin2,0.1
287,DNN,1.046985689723607,sin2,0.1
288,QCL,4.568117889269865,sin2,0.3
289,GPR,0.192554864572075,sin2,0.3
290,DNN,0.8094787148040854,sin2,0.3
291,QCL,2.2265899251464805,sin2,0.5
292,GPR,0.4944887532562285,sin2,0.5
293,DNN,3.776156885315883,sin2,0.5
294,QCL,2.9689836434613497,sin2,0.7
295,GPR,0.7041799655627621,sin2,0.7
296,DNN,3.5851770170634722,sin2,0.7
297,QCL,1.3796430960894317,sin2,0.9
298,GPR,0.3988420200581179,sin2,0.9
299,DNN,10.598020275326531,sin2,0.9
300,QCL,0.0003920779545778353,linear,0.1
301,GPR,1.1398340682560069e-05,linear,0.1
302,DNN,0.00018136992477466217,linear,0.1
303,QCL,0.0002509201986702254,linear,0.3
304,GPR,8.963270279600353e-05,linear,0.3
305,DNN,0.0005129729146381421,linear,0.3
306,QCL,0.0001652649374123385,linear,0.5
307,GPR,0.0010788456952392227,linear,0.5
308,DNN,0.003980154033982245,linear,0.5
309,QCL,0.002299704019035886,linear,0.7
310,GPR,0.022923175515877914,linear,0.7
311,DNN,0.0007031685569357085,linear,0.7
312,QCL,0.001087022703481616,linear,0.9
313,GPR,0.06003273229469967,linear,0.9
314,DNN,0.0007863109870338593,linear,0.9
315,QCL,3.8960619445026977e-05,exp,0.1
316,GPR,3.7438463985844445e-05,exp,0.1
317,DNN,0.0004839599257522951,exp,0.1
318,QCL,1.4890409360974487e-05,exp,0.3
319,GPR,0.0008413623135498761,exp,0.3
320,DNN,0.0047433089447779615,exp,0.3
321,QCL,0.00011019369155478214,exp,0.5
322,GPR,0.009744319484212238,exp,0.5
323,DNN,0.15215793300923125,exp,0.5
324,QCL,5.4878918942921776e-05,exp,0.7
325,GPR,0.020087270936904295,exp,0.7
326,DNN,0.0495288146829261,exp,0.7
327,QCL,5.677672939229861e-05,exp,0.9
328,GPR,0.059486197449792194,exp,0.9
329,DNN,0.08637447056179674,exp,0.9
330,QCL,0.00029679283392666295,sin1/2,0.1
331,GPR,3.108172376673856e-06,sin1/2,0.1
332,DNN,0.0010677749634898242,sin1/2,0.1
333,QCL,5.04819930121658e-05,sin1/2,0.3
334,GPR,0.00023643507655397286,sin1/2,0.3
335,DNN,0.00018746517496969202,sin1/2,0.3
